id,name,gender,age,height,weight
144,Maria Brown 144,M,23,200,84
145,Mason Lee 145,F,32,157,104
146,Sophia Taylor 146,F,34,184,108
147,Olivia Brown 147,M,31,197,86
148,Mason Miller 148,M,20,164,47
149,Sophia Lee 149,M,23,180,101
150,Sophia Johnson 150,F,38,202,107
151,John Moore 151,F,31,171,86
152,John Johnson 152,F,31,194,108
153,Sophia Taylor 153,M,32,155,85
154,Sophia Wilson 154,M,30,205,110
155,Alex Clark 155,F,31,153,69
156,Ava Wilson 156,F,38,178,51
157,Emma Miller 157,M,27,178,107
158,John Smith 158,M,23,169,46
159,Ava Taylor 159,M,25,203,59
160,Olivia Brown 160,M,33,195,82
161,Ava Miller 161,F,33,180,76
162,Olivia Clark 162,M,30,162,110
163,Maria Brown 163,F,31,171,109
164,Sophia Smith 164,F,27,203,107
165,Maria Moore 165,F,29,171,93
166,Olivia Wilson 166,M,25,186,94
167,Emma Taylor 167,M,28,197,105
168,Noah Taylor 168,M,33,152,61
169,Ava Lee 169,F,21,205,101
170,John Clark 170,F,18,196,63
171,Noah Johnson 171,M,33,200,78
172,Liam Lee 172,F,38,155,87
173,Ava Taylor 173,F,38,195,107
174,Ava Smith 174,M,25,190,81
175,Emma Brown 175,F,21,198,57
176,Olivia Johnson 176,F,18,152,86
177,Alex Miller 177,F,29,177,63
178,Emma Clark 178,F,36,193,68
179,Maria Johnson 179,M,37,205,93
180,Mason Davis 180,F,36,159,74
181,Olivia Miller 181,F,26,192,46
182,Olivia Miller 182,M,20,178,89
183,Mason Miller 183,F,26,179,83
184,Emma Taylor 184,F,21,165,93
185,Mason Wilson 185,F,27,151,95
186,Sophia Smith 186,M,37,197,108
187,Sophia Davis 187,F,25,190,69
188,Mason Miller 188,M,38,156,50
189,Sophia Moore 189,M,36,173,61
190,John Miller 190,F,31,161,70
191,Maria Clark 191,F,34,182,79
192,Maria Miller 192,F,27,197,88
193,John Moore 193,M,22,198,73
194,Noah Clark 194,F,20,200,95
195,Alex Miller 195,M,32,173,78
196,Mason Taylor 196,F,21,193,74
197,Olivia Smith 197,F,37,164,53
198,Olivia Miller 198,F,21,158,50
199,Alex Miller 199,F,21,156,75
200,Ava Johnson 200,F,32,173,98
201,Mason Johnson 201,F,38,156,107
202,Mason Taylor 202,F,19,194,92
203,Emma Moore 203,F,25,204,91
204,John Wilson 204,F,19,175,80
205,Emma Brown 205,F,20,192,72
206,Mason Smith 206,M,28,165,61
207,Mason Davis 207,M,35,163,72
208,Emma Wilson 208,M,37,150,80
209,Maria Johnson 209,F,23,157,48
210,Maria Smith 210,F,25,187,86
211,Alex Johnson 211,F,19,158,98
212,Ava Brown 212,M,33,178,91
213,Ava Lee 213,M,32,182,73
214,Mason Smith 214,F,32,191,48
215,Alex Moore 215,F,31,193,58
216,Olivia Moore 216,M,20,170,63
217,John Johnson 217,F,37,190,86
218,Noah Lee 218,F,32,182,100
219,John Brown 219,M,31,178,74
220,Noah Wilson 220,F,30,176,57
221,Liam Taylor 221,F,26,173,64
222,Olivia Brown 222,M,20,155,100
223,John Wilson 223,M,35,153,87
224,John Taylor 224,F,31,205,51
225,Sophia Lee 225,F,29,156,109
226,Emma Johnson 226,F,25,204,58
227,Liam Clark 227,F,21,198,80
228,Mason Davis 228,F,35,199,48
229,Mason Miller 229,M,23,167,84
230,Liam Wilson 230,M,23,205,63
231,Mason Taylor 231,M,22,197,48
232,John Clark 232,M,30,176,103
233,Liam Johnson 233,F,27,196,86
234,Mason Lee 234,M,19,159,65
235,Mason Smith 235,M,26,178,99
236,Olivia Lee 236,F,31,167,72
237,Ava Brown 237,F,31,157,81
238,Mason Moore 238,F,19,164,95
239,Mason Smith 239,M,24,169,72
240,Maria Miller 240,F,28,157,45
241,Olivia Taylor 241,M,22,174,74
242,Ava Clark 242,F,20,175,50
243,Noah Smith 243,F,20,205,85
244,Mason Taylor 244,F,38,176,82
245,John Taylor 245,M,28,160,103
246,Liam Brown 246,F,21,165,100
247,Mason Taylor 247,M,30,205,84
248,Liam Davis 248,F,23,154,110
249,John Clark 249,M,29,172,63
250,Emma Brown 250,M,26,162,67
251,Mason Johnson 251,M,23,199,108
252,Olivia Lee 252,F,36,191,86
253,Liam Johnson 253,F,20,180,101
254,Sophia Miller 254,M,29,182,54
255,Sophia Moore 255,F,19,153,92
256,Sophia Brown 256,M,37,188,109
257,Noah Moore 257,M,32,201,69
258,Liam Lee 258,F,34,159,52
259,Olivia Brown 259,F,20,182,67
260,Alex Davis 260,F,32,183,65
261,Liam Wilson 261,F,30,176,88
262,Mason Smith 262,F,20,171,57
263,Ava Taylor 263,F,26,196,64
264,Liam Brown 264,M,29,169,95
265,Maria Lee 265,M,27,185,93
266,Liam Johnson 266,M,38,192,99
267,Ava Wilson 267,M,29,169,68
268,Emma Wilson 268,F,24,164,62
269,Maria Brown 269,F,21,182,49
270,Liam Lee 270,M,37,174,64
271,Maria Johnson 271,M,32,152,97
272,Liam Davis 272,F,37,168,102
273,Emma Clark 273,M,27,201,105
274,Emma Wilson 274,F,32,199,81
275,Noah Clark 275,F,23,202,70
276,Mason Johnson 276,F,19,191,106
277,Liam Clark 277,M,34,204,60
278,Sophia Brown 278,M,26,178,110
279,Maria Taylor 279,M,25,202,102
280,Liam Smith 280,F,19,175,109
281,Liam Davis 281,F,20,173,73
282,Alex Wilson 282,M,38,171,63
283,Maria Smith 283,F,33,194,62
284,Olivia Moore 284,M,20,151,77
285,Emma Johnson 285,F,21,199,81
286,Emma Miller 286,M,19,165,98
287,Mason Moore 287,M,21,203,108
288,Mason Clark 288,M,38,182,75
289,Maria Miller 289,F,18,189,90
290,Emma Lee 290,F,23,192,55
291,Ava Wilson 291,M,34,184,109
292,Ava Clark 292,M,30,205,105
293,Alex Taylor 293,F,26,197,47
294,Liam Brown 294,F,25,196,58
295,Mason Wilson 295,M,19,172,88
296,Maria Moore 296,F,38,161,62
297,John Moore 297,M,27,162,50
298,Emma Smith 298,F,27,182,95
299,Ava Moore 299,F,19,198,69
300,Sophia Wilson 300,M,38,171,79
301,John Wilson 301,F,30,197,101
302,Noah Wilson 302,M,33,194,108
303,Liam Clark 303,F,20,196,99
304,John Taylor 304,M,35,168,86
305,John Brown 305,F,27,169,102
306,Mason Taylor 306,M,32,172,102
307,Alex Wilson 307,F,26,190,52
308,John Taylor 308,F,34,201,65
309,Alex Johnson 309,F,19,158,53
310,Emma Wilson 310,F,30,186,49
311,Mason Johnson 311,F,29,173,101
312,John Lee 312,M,34,173,95
313,Liam Miller 313,M,21,151,68
314,Olivia Clark 314,F,35,157,78
315,Sophia Moore 315,M,37,168,107
316,Emma Brown 316,M,20,178,67
317,Olivia Brown 317,F,29,195,53
318,Ava Clark 318,F,27,204,65
319,Maria Wilson 319,M,21,162,62
320,Emma Moore 320,M,29,185,92
321,Olivia Clark 321,M,37,155,53
322,Sophia Taylor 322,F,34,176,97
323,Mason Brown 323,M,28,191,54
324,Olivia Moore 324,F,22,203,68
325,Maria Taylor 325,M,21,183,64
326,Sophia Johnson 326,M,28,195,73
327,Liam Clark 327,F,20,166,70
328,Ava Miller 328,M,38,169,56
329,Ava Johnson 329,M,23,192,88
330,Mason Smith 330,M,20,152,78
331,Emma Lee 331,F,37,190,48
332,Olivia Clark 332,F,38,169,106
333,Emma Taylor 333,F,32,154,52
334,Maria Moore 334,F,33,179,71
335,Liam Lee 335,M,28,205,85
336,Liam Taylor 336,M,29,182,58
337,Liam Davis 337,F,21,167,102
338,Emma Johnson 338,M,19,168,94
339,Mason Taylor 339,M,23,202,86
340,Mason Wilson 340,M,23,181,110
341,Olivia Moore 341,F,33,151,56
342,Noah Clark 342,F,25,163,90
343,Alex Smith 343,F,33,188,105
344,Sophia Clark 344,M,21,177,62
345,Sophia Wilson 345,F,29,152,96
346,Alex Lee 346,M,29,185,81
347,John Taylor 347,F,35,167,60
348,Maria Brown 348,F,29,200,88
349,Ava Wilson 349,M,24,188,110
350,Noah Clark 350,M,19,152,62
351,Liam Moore 351,F,22,188,110
352,Maria Wilson 352,F,23,175,83
353,Mason Wilson 353,F,36,169,105
354,Alex Wilson 354,F,21,176,84
355,Alex Lee 355,F,26,191,74
356,Alex Lee 356,F,23,183,93
357,Maria Davis 357,M,36,194,59
358,Emma Smith 358,F,28,176,64
359,Noah Davis 359,F,34,199,105
360,Alex Johnson 360,M,35,170,106
361,Ava Taylor 361,F,23,179,88
362,Ava Wilson 362,F,37,180,69
363,Emma Miller 363,F,25,169,81
364,Emma Moore 364,F,33,172,80
365,Sophia Brown 365,F,30,202,89
366,Maria Miller 366,M,27,195,55
367,Liam Moore 367,F,33,163,70
368,Ava Miller 368,F,22,156,75
369,Emma Smith 369,M,38,164,51
370,John Taylor 370,F,33,156,62
371,Alex Clark 371,M,31,191,105
372,Olivia Davis 372,F,28,168,52
373,John Lee 373,M,35,197,49
374,Maria Taylor 374,M,19,203,95
375,Olivia Johnson 375,F,19,150,83
376,Mason Lee 376,M,28,168,103
377,Ava Clark 377,F,22,204,109
378,Olivia Miller 378,M,21,171,65
379,Olivia Miller 379,M,18,197,88
380,Sophia Lee 380,M,23,189,96
381,Noah Clark 381,F,20,175,57
382,Maria Johnson 382,F,28,165,45
383,Sophia Taylor 383,M,32,198,79
384,Liam Miller 384,M,26,191,91
385,Emma Smith 385,M,32,169,65
386,Noah Clark 386,F,21,190,82
387,Liam Lee 387,M,25,158,106
388,Maria Moore 388,F,31,194,105
389,Ava Davis 389,M,37,205,55
390,Ava Moore 390,F,20,186,59
391,Alex Clark 391,M,36,184,64
392,Maria Wilson 392,F,21,193,71
393,Mason Moore 393,M,34,178,52
394,Olivia Johnson 394,F,32,186,52
395,Ava Moore 395,F,18,175,77
396,Alex Davis 396,M,19,177,89
397,John Clark 397,M,20,180,49
398,Sophia Taylor 398,M,22,199,98
399,Liam Taylor 399,F,30,174,55
400,Ava Johnson 400,F,21,161,95
401,Ava Johnson 401,M,18,198,47
402,Sophia Moore 402,F,35,174,74
403,Emma Moore 403,F,22,167,69
404,John Smith 404,F,37,199,47
405,Emma Davis 405,M,21,188,49
406,Olivia Lee 406,M,25,197,50
407,Noah Moore 407,M,35,163,52
408,Maria Clark 408,F,25,202,85
409,Mason Lee 409,F,25,169,63
410,Ava Davis 410,F,27,167,52
411,Ava Lee 411,M,38,193,99
412,Ava Moore 412,M,29,191,93
413,Ava Wilson 413,F,31,159,83
414,Noah Johnson 414,F,25,204,73
415,Sophia Johnson 415,F,19,185,97
416,Noah Clark 416,M,30,165,77
417,Emma Wilson 417,M,32,204,92
418,John Clark 418,M,19,167,93
419,Mason Lee 419,M,20,162,72
420,Olivia Davis 420,F,27,150,72
421,Emma Brown 421,F,25,194,71
422,Noah Davis 422,F,27,174,104
423,Ava Wilson 423,F,26,173,110
424,Olivia Moore 424,M,33,198,85
425,Emma Wilson 425,F,31,152,73
426,Maria Smith 426,F,35,187,98
427,Sophia Johnson 427,M,28,164,93
428,Mason Davis 428,F,35,191,88
429,Sophia Moore 429,F,32,160,90
430,Maria Johnson 430,F,23,184,52
431,Ava Smith 431,M,19,198,45
432,Noah Johnson 432,M,20,195,64
433,Alex Davis 433,F,29,153,106
434,Olivia Smith 434,M,35,185,97
435,Alex Smith 435,F,35,168,47
436,Ava Taylor 436,M,21,156,64
437,Emma Davis 437,F,29,167,95
438,John Wilson 438,F,32,186,76
439,Emma Miller 439,M,38,204,49
440,John Taylor 440,F,30,185,105
441,Alex Smith 441,M,20,181,100
442,Liam Lee 442,M,34,152,74
443,Emma Lee 443,F,26,152,54
444,Sophia Clark 444,M,23,204,85
445,Alex Davis 445,M,30,154,83
446,Maria Lee 446,M,36,203,94
447,Ava Wilson 447,F,22,200,55
448,Ava Wilson 448,M,21,177,74
449,John Wilson 449,F,28,151,79
450,Olivia Moore 450,M,29,185,93
451,Noah Johnson 451,F,20,199,82
452,Emma Brown 452,M,26,159,93
453,Maria Taylor 453,F,29,156,56
454,Alex Miller 454,F,29,198,79
455,John Johnson 455,M,23,177,102
456,Ava Clark 456,F,21,151,56
457,Liam Clark 457,M,37,188,86
458,Noah Smith 458,F,31,174,55
459,Ava Davis 459,M,30,160,62
460,Sophia Miller 460,F,33,159,53
461,Maria Taylor 461,F,31,169,106
462,John Wilson 462,F,25,196,108
463,Mason Lee 463,M,32,156,62
464,Sophia Smith 464,F,28,203,93
465,Liam Moore 465,F,31,202,62
466,Sophia Wilson 466,M,33,170,67
467,Noah Wilson 467,F,38,181,76
468,Liam Taylor 468,F,30,173,59
469,Mason Davis 469,M,35,151,104
470,Emma Moore 470,F,20,202,97
471,Olivia Johnson 471,F,25,166,64
472,Noah Taylor 472,M,32,188,106
473,Mason Taylor 473,F,35,152,91
474,Ava Lee 474,M,21,199,76
475,Liam Johnson 475,M,36,191,96
476,Liam Taylor 476,M,18,156,78
477,Emma Clark 477,M,32,173,95
478,Olivia Lee 478,M,29,151,106
479,John Miller 479,F,20,157,63
480,Liam Miller 480,F,32,200,71
481,Ava Moore 481,F,33,156,101
482,Olivia Wilson 482,M,27,152,59
483,Alex Wilson 483,M,23,197,76
484,Ava Johnson 484,M,28,185,99
485,Olivia Davis 485,F,38,161,68
486,Noah Taylor 486,M,37,162,102
487,Mason Taylor 487,F,18,195,72
488,Emma Miller 488,M,36,156,68
489,Liam Wilson 489,M,32,157,78
490,Olivia Clark 490,F,37,174,95
491,Mason Brown 491,F,29,204,103
492,Mason Johnson 492,F,37,187,55
493,Maria Wilson 493,M,25,169,59
494,Maria Wilson 494,M,34,174,98
495,Mason Johnson 495,F,31,161,107
496,Ava Johnson 496,M,33,168,62
497,Maria Wilson 497,F,37,153,90
498,Alex Moore 498,M,24,202,94
499,Ava Clark 499,F,31,193,107
500,Noah Moore 500,F,23,155,48
501,Emma Miller 501,M,26,164,81
502,Maria Moore 502,F,35,182,59
503,Mason Brown 503,F,35,202,91
504,Ava Smith 504,F,35,163,99
505,John Davis 505,F,19,178,78
506,Liam Brown 506,F,21,199,75
507,Emma Lee 507,F,37,190,99
508,Maria Lee 508,M,24,202,71
509,Alex Lee 509,F,35,167,66
510,Liam Miller 510,F,36,167,110
511,John Johnson 511,F,19,167,61
512,Maria Davis 512,M,28,203,76
513,Noah Moore 513,M,36,190,79
514,Noah Taylor 514,F,20,190,56
515,Noah Clark 515,F,29,179,107
516,Liam Lee 516,M,20,196,103
517,Liam Brown 517,F,24,177,72
518,Olivia Miller 518,F,27,171,61
519,Mason Moore 519,F,19,152,57
520,Olivia Smith 520,M,23,178,103
521,Alex Taylor 521,M,22,191,83
522,Maria Miller 522,M,38,173,77
523,John Wilson 523,M,19,175,84
524,Emma Taylor 524,M,21,150,72
525,Olivia Brown 525,M,36,164,101
526,Alex Smith 526,F,21,205,99
527,Maria Moore 527,M,25,174,56
528,John Brown 528,F,29,169,62
529,Noah Johnson 529,M,20,183,46
530,Mason Johnson 530,F,29,196,72
531,Maria Taylor 531,F,24,155,57
532,Maria Brown 532,F,29,177,85
533,Maria Davis 533,F,38,155,76
534,Ava Lee 534,F,18,204,83
535,Emma Clark 535,M,30,168,51
536,Emma Moore 536,F,21,165,108
537,Mason Brown 537,M,29,170,61
538,Noah Lee 538,F,29,184,67
539,Olivia Brown 539,M,36,154,46
540,Sophia Davis 540,M,19,200,95
541,Ava Miller 541,F,31,194,96
542,John Clark 542,M,26,155,84
543,John Clark 543,M,22,184,86
544,Noah Lee 544,M,27,194,100
545,Emma Smith 545,M,20,177,59
546,Olivia Lee 546,M,27,192,67
547,John Smith 547,M,18,160,108
548,Liam Clark 548,F,23,173,61
549,Sophia Brown 549,M,28,201,99
550,Sophia Clark 550,M,26,195,54
551,Olivia Moore 551,F,19,181,66
552,Liam Johnson 552,F,21,186,59
553,Emma Clark 553,M,19,204,46
554,Emma Smith 554,F,29,174,64
555,Maria Smith 555,F,25,170,76
556,Noah Wilson 556,F,20,186,92
557,John Clark 557,M,23,164,50
558,Noah Brown 558,F,27,199,84
559,Liam Brown 559,F,18,173,70
560,Sophia Lee 560,F,37,165,104
561,Liam Lee 561,F,24,196,76
562,Maria Smith 562,F,18,164,89
563,Alex Wilson 563,M,30,204,84
564,John Davis 564,M,31,181,52
565,Maria Miller 565,M,19,164,97
566,Liam Moore 566,M,36,156,109
567,Maria Taylor 567,M,36,186,52
568,Noah Johnson 568,M,27,166,85
569,Noah Wilson 569,F,32,167,74
570,John Davis 570,M,36,156,64
571,John Johnson 571,F,32,170,97
572,John Clark 572,F,24,178,84
573,Olivia Miller 573,M,20,160,83
574,Mason Smith 574,M,28,159,56
575,Emma Wilson 575,F,34,153,83
576,Sophia Johnson 576,M,30,204,102
577,Ava Clark 577,M,21,179,58
578,Maria Brown 578,M,19,203,73
579,Maria Davis 579,F,29,193,55
580,Mason Lee 580,F,20,151,53
581,Emma Moore 581,M,20,204,87
582,John Smith 582,F,19,160,100
583,Noah Moore 583,M,30,193,99
584,Maria Wilson 584,M,23,167,80
585,Olivia Johnson 585,M,37,189,76
586,Sophia Moore 586,F,35,180,52
587,John Miller 587,F,22,176,70
588,Ava Davis 588,M,30,200,90
589,Olivia Clark 589,F,29,186,109
590,Liam Taylor 590,F,23,151,85
591,Mason Davis 591,M,26,153,105
592,Ava Wilson 592,M,23,156,76
593,Emma Miller 593,M,25,186,94
594,Liam Johnson 594,M,25,187,85
595,Liam Lee 595,M,29,186,63
596,Mason Davis 596,F,35,169,67
597,Olivia Smith 597,M,19,164,73
598,Alex Clark 598,F,18,171,70
599,Maria Wilson 599,M,28,153,47
600,Maria Lee 600,M,21,204,91
601,John Wilson 601,F,36,156,88
602,Sophia Wilson 602,M,23,196,100
603,Olivia Wilson 603,M,35,194,90
604,Emma Lee 604,M,30,169,82
605,Maria Johnson 605,M,36,175,49
606,Maria Lee 606,F,37,164,58
607,Olivia Johnson 607,F,20,165,89
608,Liam Johnson 608,M,38,196,87
609,Olivia Smith 609,F,24,165,53
610,Liam Miller 610,M,18,153,94
611,Olivia Taylor 611,M,31,181,93
612,Liam Clark 612,F,21,203,106
613,Mason Davis 613,M,32,154,49
614,Sophia Smith 614,F,26,156,54
615,Liam Johnson 615,F,23,196,54
616,Ava Brown 616,F,37,189,106
617,Alex Taylor 617,M,37,177,65
618,Alex Brown 618,F,24,162,97
619,Ava Clark 619,F,27,169,75
620,John Smith 620,F,36,185,107
621,Maria Smith 621,F,18,177,56
622,Sophia Lee 622,F,24,156,48
623,Emma Johnson 623,F,20,180,59
624,Sophia Taylor 624,F,33,192,78
625,John Clark 625,F,23,173,93
626,Liam Johnson 626,F,19,166,101
627,Olivia Miller 627,M,26,186,52
628,Maria Brown 628,M,29,201,97
629,Mason Davis 629,M,30,202,98
630,Ava Moore 630,M,33,169,55
631,Noah Smith 631,M,21,198,102
632,Maria Johnson 632,M,24,158,50
633,Noah Brown 633,F,24,202,63
634,Mason Miller 634,F,20,155,94
635,Ava Taylor 635,F,26,183,103
636,Alex Lee 636,F,21,176,64
637,Maria Lee 637,M,21,186,57
638,Sophia Clark 638,F,31,166,94
639,Olivia Lee 639,F,19,161,80
640,Noah Johnson 640,F,19,175,87
641,Emma Smith 641,F,26,173,47
642,Liam Miller 642,F,26,203,107
643,John Davis 643,M,27,197,101
644,Liam Miller 644,F,37,191,56
645,Emma Moore 645,M,31,197,107
646,Ava Wilson 646,M,34,200,65
647,John Miller 647,F,22,199,48
648,Maria Davis 648,M,19,165,49
649,Olivia Smith 649,F,24,167,92
650,Olivia Clark 650,F,38,157,48
651,Emma Wilson 651,F,37,178,67
652,Olivia Lee 652,F,29,160,78
653,John Miller 653,M,30,153,65
654,Mason Davis 654,M,38,164,71
655,Sophia Taylor 655,M,18,180,61
656,Maria Lee 656,M,25,166,84
657,Sophia Taylor 657,F,29,179,77
658,Emma Moore 658,F,34,202,95
659,Mason Brown 659,M,34,192,92
660,Ava Lee 660,F,27,193,58
661,Olivia Brown 661,F,26,190,86
662,Sophia Miller 662,F,24,159,75
663,Alex Lee 663,F,28,193,62
664,Alex Moore 664,F,26,176,96
665,Noah Smith 665,M,28,196,73
666,Ava Moore 666,F,34,169,66
667,Ava Johnson 667,F,21,180,61
668,Sophia Clark 668,M,28,191,56
669,Emma Wilson 669,M,27,176,87
670,Liam Miller 670,F,32,204,60
671,Olivia Smith 671,M,33,162,109
672,John Taylor 672,F,31,153,64
673,Maria Davis 673,F,31,186,103
674,Maria Wilson 674,M,20,181,87
675,Maria Wilson 675,M,18,178,80
676,Emma Johnson 676,M,33,200,56
677,Maria Lee 677,F,38,177,96
678,Noah Moore 678,F,18,152,70
679,Liam Smith 679,F,34,162,47
680,Alex Davis 680,M,29,169,61
681,John Taylor 681,F,23,154,50
682,Sophia Miller 682,F,34,188,88
683,Noah Johnson 683,F,33,172,69
684,Maria Taylor 684,M,25,164,61
685,Emma Smith 685,M,21,173,49
686,Noah Miller 686,M,37,153,58
687,Alex Smith 687,M,31,178,93
688,John Clark 688,F,33,194,64
689,Emma Smith 689,F,31,192,57
690,Ava Miller 690,M,31,203,58
691,Ava Lee 691,M,27,157,58
692,Olivia Davis 692,M,26,203,70
693,Liam Taylor 693,F,23,152,108
694,Emma Moore 694,F,25,150,46
695,John Brown 695,F,22,155,110
696,John Brown 696,F,38,164,103
697,Sophia Miller 697,F,19,156,67
698,Alex Miller 698,F,28,177,59
699,John Smith 699,M,22,192,66
700,Liam Wilson 700,F,37,167,56
701,Liam Wilson 701,M,21,175,96
702,Olivia Miller 702,F,33,201,98
703,Maria Brown 703,M,19,204,65
704,John Taylor 704,F,36,193,101
705,Maria Lee 705,F,29,189,48
706,Maria Moore 706,F,21,176,101
707,Alex Brown 707,F,38,170,46
708,Ava Lee 708,M,28,183,57
709,Noah Davis 709,F,29,192,94
710,Maria Clark 710,M,18,191,65
711,Ava Moore 711,F,23,154,107
712,Liam Davis 712,F,26,153,109
713,Emma Clark 713,F,30,202,75
714,John Moore 714,F,36,178,56
715,Olivia Moore 715,F,21,181,47
716,John Taylor 716,F,19,185,45
717,John Lee 717,F,34,185,71
718,Olivia Wilson 718,F,19,202,73
719,Olivia Wilson 719,F,29,195,102
720,John Brown 720,M,18,171,90
721,Sophia Clark 721,F,21,152,66
722,Olivia Johnson 722,F,21,166,70
723,Emma Brown 723,F,24,179,69
724,Liam Brown 724,F,19,190,60
